id,solvent,d_d,d_p,d_h
201,(E)-2-Hexen-1-Yl Hexanoate,16.3,3,4.2
202,(E)-2-Hexen-1-Yl Isovalerate,16,2.8,4
203,(E)-2-Hexen-1-Yl Octanoate,16.3,2.8,3.8
204,(E)-2-Hexen-1-Yl Phenyl Acetate,17.6,3.1,4.5
205,(E)-2-Hexen-1-Yl Salicylate,18.1,6.5,7.4
206,(E)-2-Hexen-1-Yl Valerate,16.3,3.1,4.3
207,(E)-2-Hexenoic Acid,16.5,5.4,11.3
208,(E)-2-Methyl-2-Octen-1-Al,16.4,5.6,4.4
209,"(E)-2-Methyl-4-Propyl-1,3-Oxathiane",17,4.3,3.9
210,(E)-2-Nonen-1-Al,16.4,5.8,4.7
211,(E)-2-Nonen-1-ol,16.5,4.5,10.4
212,(E)-2-Nonen-1-Yl Acetate,16.4,3.2,4.8
213,(E)-2-Nonen-4-One,16.5,4.9,4.1
214,(E)-2-Nonenoic Acid,16.6,4.6,9.4
215,(E)-2-Octen-1-ol,16.5,4.8,11
216,(E)-2-Octen-1-Yl Acetate,16.4,3.3,5.1
217,(E)-2-Octen-1-Yl Butyrate,16.3,3,4.2
218,(E)-2-Octen-4-ol,16.5,4.3,9.6
219,(E)-2-Octenoic Acid,16.6,4.9,10.1
220,(E)-2-Pentadecen-1-Al,16.3,4.2,3.3
221,(E)-2-Penten-1-ol,16.6,6.2,12.7
222,(E)-2-Phenyl-1(2)-Propene-1-Yl Acetate,18,3.7,5.2
223,(E)-2-Tetradecen-1-Al,16.3,4.6,3.6
224,(E)-2-Tridecen-1-Al,16.3,4.7,3.8
225,(E)-2-Tridecen-1-ol,16.4,3.6,8.6
226,(E)-2-Tridecen-1-Yl Acetate,16.4,2.5,3.9
227,(E)-2-Tridecenoic Acid,16.6,3.7,7.3
228,(E)-2-Undecen-1-Al,16.3,5.1,4
229,(E)-2-Undecen-1-Yl Acetate,16.4,2.7,4.1
230,"(E)-3,7,11,15-Tetramethylhexadec-2-En-1-ol",15.9,2.2,4.2
231,"(E)-3,7-Dimethyl-2,6-Octadien-1-Yl Acetate",16.7,2.4,4.5
232,(E)-3-Hepten-1-Yl Acetate,16.3,3.6,5.1
233,(E)-3-Heptenoic Acid,16.5,5.1,10.7
234,(E)-3-Hexen-1-Yl Acetate,16.3,4.1,5.6
235,(E)-3-Hexen-1-Yl Crotonate,16.7,3.6,5.4
236,(E)-3-Hexen-1-Yl Hexanoate,16.3,3.2,4.4
237,(E)-3-Hexenoic Acid,16.6,5.8,11.8
238,(E)-3-Nonen-2-One,16.5,4.8,4
239,(E)-3-Octenoic Acid,16.6,4.9,10.1
240,(E)-3-Penten-1-ol,16.8,6.2,13.2
241,(E)-3-Penten-2-ol,16.7,5.7,12.9
242,(E)-4-Hexen-1-Al,16.6,7.4,6
243,(E)-4-Hexen-1-ol,16.7,5.9,11.8
244,(E)-4-Hexen-1-Yl Acetate,16.4,4.3,5.8
245,(E)-4-Nonen-1-Al,16.8,5.7,4.9
246,(E)-4-Octenoic Acid,16.5,4.7,9.9
247,(E)-5-Nonen-2-One,16.5,4.9,3.8
248,(E)-6-Methyl-3-Hepten-2-One,16.1,4.9,3.7
249,(E)-6-Octen-1-Al,16.4,6.2,5
250,(E)-7-Methyl-3-Octen-2-One,16.2,4.5,3.6
251,(E)-Aconitic Acid,18.4,11.9,25.7
252,(E)-Anethol,18.5,4.5,4.8
253,(E)-Benzyl Tiglate,17.9,3.3,5.1
254,(E)-Carveol,17.3,4,9.2
255,(E)-Cinnamyl Acetate,18.1,3.7,5.6
256,(E)-Cinnamyl Alcohol,18.6,5.3,10.9
257,(E)-Cinnamyl Butyrate,17.7,3.2,4.6
258,(E)-Cinnamyl Nitrile,18.6,8.7,5.4
259,(E)-Citral,16.8,5.3,4.3
260,(E)-Citronellyl Tiglate,16.6,2.6,3.7
261,(E)-Dihydrocarvone,17.2,5.4,2.8
262,(E)-Dimethyldiazene,12.3,7.7,5.1
263,(E)-Ethyl Geranate,16.6,2.9,4.2
264,(E)-Ethyl Tiglate,16.3,4.4,5.7
265,(E)-Furfurylidene Phenyl Acetaldehyde,19,7,5.6
266,(E)-Geranyl Acetone,16.8,3.7,3.2
267,(E)-Geranyl Linalool,16.9,1.4,4
268,(E)-Geranyl Oxyacetaldehyde,16.7,5.2,4.8
269,(E)-Germacrene D,16.8,0.8,2.8
270,(E)-Isoeugenol,18.9,5.9,9.9
271,(E)-Jasmone,17.9,5.4,4.9
272,(E)-Linalool Oxide (Furanoid),16.7,4.5,7
273,(E)-Linalool Oxide (Pyranoid),16.5,4.6,8.3
274,(E)-Methyl Geranate,16.7,3.2,4.6
275,(E)-Nerolidol,16.9,1.9,5
276,"(E)-Para-Mentha-2,8-Dien-1-ol",17.3,3.9,7.5
277,(E)-Para-Menthan-2-One,16.9,5.2,2.4
278,"(E)-Para-Menthane-3,8-Diol",17.1,5.5,11.7
279,(E)-Para-Methoxycinnamaldehyde,18.9,8.4,6.6
280,(E)-Pinocarveol,16.9,3.5,8.3
281,(E)-Piperitol,16.9,3.5,8.7
282,(E)-Propenyl Propyl Trisulfide,18.3,5.5,4
283,(E)-Sabinene Hydrate,17.3,4.2,6.7
284,(E)-Tagetone,16.2,4.1,3
285,(E)-Verbenol,17,3.3,8.5
286,(E)-Verbenyl Acetate,16.6,2.3,3.6
287,(E)-α-Bergamotene,17.1,1.2,2
288,(E)-α-Bisabolene,17.3,0.6,2.8
289,(E)-α-Damascone,17,3.2,3.3
290,(E)-α-Methyl Ionone (74-80%),16.8,2.9,2.9
291,(E)-β-Bergamotene,17,1,1.8
292,(E)-β-Damascone,17,3.6,3.6
293,(E)-β-Farnesene,16.4,0.9,1.8
294,(E)-β-Methyl Ionone,16.9,3.3,3.3
295,(E)-β-Ocimene,16.4,1.1,2.5
296,"(E,E)-1-(Oxo-2,4-Decadienyl) Pyrrolidine",17.9,6.5,3.6
297,"(E,E)-2,4-Decadien-1-Al",16.8,5.5,4.7
298,"(E,E)-2,4-Dodecadien-1-Al",16.7,5.1,4.2
299,"(E,E)-2,4-Dodecadien-1-ol",16.7,4,9
300,"(E,E)-2,4-Heptadien-1-Al",16.9,6.7,5.6
301,"(E,E)-2,4-Hexadien-1-Al",17.1,7.4,6.3
302,"(E,E)-2,4-Hexadien-1-ol",17.2,5.6,12.5
303,"(E,E)-2,4-Nonadiene",16.3,1.9,3.1
304,"(E,E)-2,4-Undecadien-1-Al",16.7,5.2,4.5
305,"(E,E)-2,6-Allo-Ocimene",16.7,1.5,2.7
306,"(E,E)-2,6-Nonadien-1-Al",16.8,5.9,5.1
307,"(E,E)-2,6-Octadien-1-Al",17,6.4,5.6
308,"(E,E)-3,5-Octadien-2-One",16.9,5.5,4.5
309,"(E,E)-Allyl Sorbate",17,3.8,5.9
310,"(E,E)-Farnesol",16.9,2.6,6.3
311,"(E,E)-Farnesyl Acetate",16.8,1.6,3.6
312,"(E,E)-Sorbic Acid",17.2,5.8,12.5
313,"(E,E,Z)-2,4,7-Decatrien-1-Al",17.2,5.6,5.1
314,"(E,Z)-2,4,8-Trimethyl-3,7-Nonadien-2-ol",16.7,2.8,5.6
315,"(E,Z)-2,4-Decadien-1-Al",16.8,5.5,4.7
316,"(E,Z)-2,6-Dodecadien-1-Al",16.7,5,4.4
317,"(E,Z)-2,6-Nonadien-1-Al",16.8,5.9,5.1
318,"(E,Z)-2,6-Nonadien-1-Al Diethyl Acetal",16.2,3.2,3.4
319,"(E,Z)-2,6-Nonadien-1-Yl Acetate",16.7,3.3,5.1
320,"(E,Z)-3,6-Nonadien-1-ol",16.9,4.6,9.5
321,"(E,Z)-3,6-Nonadien-1-Yl Acetate",16.7,3.1,4.8
322,"(E,Z,Z)-2,4,7-Tridecatrien-1-Al",17.1,4.8,4.5
323,"(E+Z)-4,8-Dimethyl-3,7-Nonadien-2-ol",16.8,3.7,7.8
324,"(E+Z)-4,8-Dimethyl-3,7-Nonadien-2-One",16.9,4.2,3.4
325,"(E+Z)-4,8-Dimethyl-3,7-Nonadien-2-Yl Acetate",16.6,2.8,3.8
326,(Methyl Thio) Methyl Hexanoate,17.1,4.5,5.7
327,(p-Chlorophenyl)Acetonitrile,19,10.1,5.4
328,(Perfluorocyclohexyl)Methanol,13.3,3.7,7.3
329,(R)-(-)-α-Phellandrene,16.4,1.5,2.9
330,(R)-(+)-β-Citronellol,16.4,4,8.2
331,(R)-2-Phenyl Propyl Alcohol,17.9,4.6,10.2
332,"(R)-N,N,α-Trimethyl Benzyl Amine",17.2,2.2,3.1
333,"(R*,S*)-2-Mercapto-3-Butanol",17.2,7.1,13.6
334,(S )-Boc-Piperazine,17.4,9.6,6.4
335,(S)-( )-Perillaldehyde,17.2,5.7,5
336,(S)-( )-Perillyl Alcohol.,17.3,4.3,9.5
337,(S)-(-)-Citronellal,16.4,4.9,4.2
338,(S)-(-)-Pulegone,17.7,5.7,3.9
339,"(S)-(+)-2,3,7,7A-Tetrahydro-7A-Methyl-1H-Indene-1,5(6H)-Dione",19.4,10.6,5.5
340,(S)-1-Methoxy-3-Heptane Thiol,16.5,4.3,4.6
341,(S)-Dihydroactinidiolide,16.9,6.7,3.9
342,(S)-Rhodinol,16,4,7.8
343,(Trifluoromethyl)Silane,13.2,2.5,0.4
344,"(Z)-1,2-Diiodoethylene",20.4,5.8,4.9
345,"(Z)-1,5-Octadien-3-ol",16.5,4.3,9.6
346,(Z)-2-Nonen-1-Al,16.4,5.8,4.7
347,(Z)-2-Nonen-1-ol,16.5,4.5,10.4
348,(Z)-2-Octen-1-Al,16.4,6.2,5
349,(Z)-2-Penten-1-ol,16.6,6.2,12.7
350,(Z)-2-Penten-1-Yl Hexanoate,16.4,3.4,4.7
351,(Z)-2-Pinanol,17.1,3.7,6.5
352,(Z)-2-Tridecen-1-ol,16.4,3.6,8.6
353,(Z)-3-Decen-1-Yl Acetate,16.4,3.1,4.5
354,(Z)-3-Hepten-1-Yl Acetate,16.3,3.6,5.1
355,(Z)-3-Hexen-1-Al Diethyl Acetal,15.8,3.8,3.7
356,(Z)-3-Hexen-1-Al Dimethyl Acetal,16,4.2,4.5
357,(Z)-3-Hexen-1-ol,16.5,5.6,11.7
358,(Z)-3-Hexen-1-Yl (E)-2-Hexenoate,16.6,3,4.4
359,(Z)-3-Hexen-1-Yl (E)-Crotonate,16.7,3.6,5.4
360,(Z)-3-Hexen-1-Yl (Z)-3-Hexenoate,16.6,3.3,4.7
361,(Z)-3-Hexen-1-Yl 2-Ethyl Butyrate,16.1,2.8,4
362,(Z)-3-Hexen-1-Yl 2-Methyl Butyrate,16.1,2.7,3.9
363,(Z)-3-Hexen-1-Yl 2-Methyl-2-Pentenoate,16.6,3.1,4.4
364,(Z)-3-Hexen-1-Yl Anthranilate,18.3,6.5,6.9
365,(Z)-3-Hexen-1-Yl Benzoate,17.6,5,3.7
366,(Z)-3-Hexen-1-Yl Cinnamate,17.8,3,4.6
367,(Z)-3-Hexen-1-Yl Decanoate,16.3,2.5,3.6
368,(Z)-3-Hexen-1-Yl Formate,16.3,5.3,6.3
369,(Z)-3-Hexen-1-Yl Heptanoate,16.3,3,4.2
370,(Z)-3-Hexen-1-Yl Hexanoate,16.3,3.2,4.4
371,(Z)-3-Hexen-1-Yl Isovalerate,16,3,4.2
372,(Z)-3-Hexen-1-Yl Lactate,16.8,5.8,11.1
373,(Z)-3-Hexen-1-Yl Methyl Carbonate,16.1,5.9,5.3
374,(Z)-3-Hexen-1-Yl Octanoate,16.3,3,4
375,(Z)-3-Hexen-1-Yl Oxyacetaldehyde,16.5,7.6,5.9
376,(Z)-3-Hexen-1-Yl Phenyl Acetate,17.5,3.3,4.7
377,(Z)-3-Hexen-1-Yl Propionate,16.2,3.9,5.2
378,(Z)-3-Hexen-1-Yl Pyruvate,16.9,6.7,6.4
379,(Z)-3-Hexen-1-Yl Senecioate,16.7,3.2,4.7
380,(Z)-3-Hexen-1-Yl Tiglate,16.7,3.3,4.8
381,(Z)-3-Hexen-1-Yl Valerate,16.3,3.3,4.6
382,(Z)-3-Hexenoic Acid,16.6,5.8,11.8
383,(Z)-3-Nonen-1-ol,16.5,4.5,10.4
