id,solvent,d_d,d_p,d_h
5186,"Butane, 2-Ethoxy-1,1,1,2,4,4,4-Heptafluoro-",13.5,3,2
5187,"Butane, 3-Ethoxy-1,1,2,2-Tetrafluoro-",14.7,3.9,3.7
5188,"Butanedioic Acid, 2,3-Dibromo-",19.3,10.1,21
5189,"Butanedioic Acid, Dimethyl Ester",16.5,6.9,8.9
5190,"Butanedioic Acid, Methyl-",17,8.7,20.2
5191,Butanedioyl Dichloride,17.6,10.7,6.8
5192,Butanesulfonyl Chloride,17.3,14.4,6.3
5193,"Butanoic Acid, 2-Bromo-3-Methyl-",16.9,5.8,11.2
5194,"Butanoic Acid,Heptafluoro-,Ethyl Ester",13.9,3.8,4
5195,"Butanoic Acid,Heptafluoro-,Methyl Ester",13.8,4.2,4.5
5196,Butoxy Ethoxy Propanol,15.5,6.5,10.2
5198,Butyl (E)-2-Crotonate,16.3,4,5.5
5199,"Butyl (E,Z)-2,4-Decadienoate",16.7,2.7,4.1
5200,"Butyl 2,5-Dichlorobenzoate",18.6,5.8,3.4
5201,Butyl 2-Furoate,17.1,6.4,4.7
5202,Butyl 2-Methyl Butyrate,15.7,3,3.9
5203,Butyl Anthranilate,18.3,7.1,7.1
5204,Butyl Benzoate,18.3,5.6,5.5
5206,Butyl Benzyl Ether,17.2,3.3,3.6
5207,Butyl Butyryl Glycollate,16.3,4.9,6.3
5208,Butyl Butyryl Lactate,16.2,4.2,5.6
5209,Butyl Carbonate,15.7,5.3,4.2
5210,Butyl Cinnamate,17.7,3.3,4.7
5211,Butyl Cyanoacetate,16.4,10,7.2
5212,Butyl Decanoate,16.1,2.7,3.6
5213,Butyl Decylenate,16.3,2.9,3.8
5214,Butyl Diglycol Acetate,16,4.1,8.2
5215,Butyl Ethyl Disulfide,16.6,4.9,3.4
5216,Butyl Ethyl Malonate,16.3,5.4,6.9
5217,Butyl Ethyl Sulfate,16,9.2,4.9
5218,Butyl Ethyl Sulfite,16.8,7.3,4.2
5219,Butyl Ethylcarbamate,16.7,8.1,6.9
5220,Butyl Formate,15.7,6.5,9.2
5221,Butyl Glycol Acetate,15.3,7.5,6.8
5222,Butyl Heptanoate,16,3.2,4.2
5223,Butyl Heptine Carbonate,16.4,3,4.3
5224,Butyl Heptyl Sulfide,16.5,2.6,2.5
5225,Butyl Hexanoate,16,3.5,4.5
5226,Butyl Hexyl Sulfide,16.6,2.5,2.7
5227,Butyl Isobutyrate,15.6,3.6,4.4
5228,Butyl Isocyanate,16.1,7.9,4.6
5229,Butyl Isocyanide,15.7,11.4,4.2
5230,Butyl Isopropenyl Ether,14.8,5.3,5
5231,Butyl Isothiocyanate,16.9,14.4,7.9
5232,Butyl Isovalerate,15.6,3.2,4.2
5233,Butyl Lactate,15.8,6.5,10.2
5234,Butyl Laevo-Lactate,16.5,6.4,11.9
5235,Butyl Laurate,16.1,2.6,3.2
5236,Butyl Levulinate,16.5,6.5,5.9
5237,Butyl Myristate,16.1,2.2,3
5238,Butyl Nitrate,16.1,7.2,6.1
5239,Butyl Nitrite,15.1,9.3,6.6
5240,Butyl Nonanoate,16.1,2.8,3.6
5241,Butyl Octanoate,16,3.2,3.9
5242,Butyl Octyl Sulfide,16.5,2.2,2.2
5243,Butyl Oleate,16.3,3.7,4.2
5244,Butyl Palmitate,16.1,2.2,2.7
5245,Butyl p-Aminobenzoate (Butamben),18.4,6.5,7.4
5246,Butyl Paraben,18.2,6.7,8.3
5247,Butyl Phenyl Acetate,17.4,3.6,4.8
5248,Butyl Phenyl Ether,17.5,3.7,4.1
5249,Butyl Propyl Disulfide,16.6,4.4,3
5250,Butyl Quinoline,18.5,3.3,3.4
5251,Butyl Stearate,14.5,3.7,3.5
5252,Butyl Tiglate,16.3,3.7,4.9
5253,Butyl Undecylenate,16.1,2.5,3.4
5254,Butyl Valerate,15.9,3.6,4.6
5255,Butyl-6-Methyl-3-Cyclohexene Carboxylate,16.1,2.5,5.7
5256,Butylate,17,7,2.7
5257,Butylated Hydroxyanisole,17.6,4.8,7.9
5258,Butylcyclohexylamine,16.6,2.2,3.9
5259,Butyl-Dodecyl-Sulfide,16.5,1.8,1.9
5260,Butyleneoxide,16.3,6.2,5.9
5261,Butyl-Methoxydibenzoylmethane (B-Mdm) (Parsol1789),19,7.5,3.7
5262,Butyl-Nonyl-Sulfide,16.5,2.2,2.3
5263,Butyl-Pentyl-Sulfide,16.6,2.7,2.8
5264,Butyltrichlorosilane,15.6,3,1.2
5265,Butyraldehyde,15.6,10.1,6.2
5266,Butyranilide,18.6,9.8,7
5267,Butyric Acid,15.7,4.8,12
5268,Butyric Anhydride,15.8,10.3,4.5
5269,Butyroin,16.5,7,9.5
5270,Butyronitrile,15.3,12.4,5.1
5271,Butyrylchloride,16.8,9.4,4.8
5272,C10f22,11.9,0.7,0.1
5273,C5hf10no,13.8,4.3,3.3
5274,C6hf12no,13.5,3.9,3.5
5275,Cadalene,18.9,3.4,3.4
5276,Cadaverine,16.8,5.7,9.9
5277,Cadinadiene,16.9,0.6,2.3
5278,Cadinene,16.5,0.4,0.7
5279,Cafestol,18.5,5.5,7.8
5280,Caffeic Acid,19.6,8.3,18.6
5281,Caffeine,19.5,10.1,13
5282,Calamenene,17.6,1.3,1.4
5283,Camphene,16.4,1.8,3.1
5284,Camphene Hydrate,17.1,3.7,6.5
5285,Camphenilone,17.3,5.8,2.6
5286,Campholene Acetate,16.4,2.4,3.7
5287,Capric Acid Methyl Ester,16,3.1,4.4
5288,Caprolactone (Epsilon),19.7,15,7.4
5289,Caprolactone (Epsilon),18,15,7.4
5293,Captopril,18.9,11.8,12.1
5294,Caramel Dione,18.3,11.2,4.4
5295,Caramel Furanone,18.2,11.7,14.3
5296,Caramel Pentadione,18.3,11.2,4.4
5298,"Carbamic Acid, 1H-Benzimidazol-2-Yl-, Methyl Ester",20.3,13.5,10.1
5299,Carbamyl Chloride,18.9,17.3,14.2
5300,Carbazole,21,5.5,5.6
5302,Carbofuran,18.7,8.1,7
5304,Carbon Disulfide (0 Dipole Moment),20.2,0,0.6
5305,Carbon Disulfide (P By Group Cont.),19.9,5.8,0.6
5306,Carbon Tetrabromide,20.8,6.3,4.4
5307,Carbon Tetrachloride (0 Dipole Moment),17.8,0,0.6
5308,Carbon Tetrachloride (P By Group Cont.),16.1,8.3,0
5309,Carbon Tetrafluoride,11.9,3.2,2.4
5310,Carbon Tetraiodide,22.6,5,3.1
5311,Carbonyl Cyanide,15,6.3,8
5312,Carbonyl Dicyanide,18.6,28.6,10.7
5313,Carbonyl Fluoride,12.3,6.9,6.1
5314,Carboxine,19.5,11.5,9.7
5315,Carotol,17.6,3.2,5.6
5316,Carvacryl Acetate,17.6,3.5,4
5317,Carvacryl Ethyl Ether,17.4,3.2,2.9
5318,Carvacryl Methyl Ether,17.6,3.5,3.3
5319,Carvomenthol,16.5,3.6,7.6
5320,Carvone,17.5,5.7,3.8
5321,Carvone Oxide,17.6,8,4.2
5322,Carvyl Acetate,16.8,2.9,4.4
5323,Carvyl Isopentanoate,16.5,2,3.3
5324,Carvyl Propionate,16.7,2.8,4
5325,Caryophyllene,16.8,0.6,2.2
5326,Caryophyllene Alcohol,17,3,5.6
5327,Caryophyllene Alcohol Acetate,16.9,1.7,3.2
5328,Cascarilladiene,16.8,0.7,1.9
5329,Cashmeran,16.9,3.5,1.9
5330,Cassis Buteneone,16.8,3.2,2.5
5331,Cassis Oxime 10%,15.8,1.3,5.8
5332,Cassis Pentanone,16.9,5.5,3.6
5333,Castor Oil,15.9,4.6,12
5334,c-Cf2och(Cf3)Ocf2-,13.9,5.3,3.6
5335,Ccif2occifcf3,13.8,3.9,1.9
5336,Ccif2ocf2ccifh,14.4,6.1,3.7
5337,Cclf2occl2cf3,14.7,4.8,2.4
5338,Cclf2occlfcf3,13.8,3.9,1.9
5339,Cclf2ocf2ccl2f,14.8,2.2,1.7
5340,Cclf2ocf2cclf2,13.5,2.6,1.7
5341,Cclf2och2cf3,13.7,3.8,2.5
5342,Cedanol,16.7,4.2,7.3
5343,Cedralone,17.4,3.9,0.9
5344,Cedrenol,17.2,2.6,5.9
5345,Cedrenyl Acetate,17.2,1.9,2.9
5346,Cedrol,17.4,2.8,4.4
5347,Cedrol Methyl Ether,16.8,1.8,0.9
5348,Cedryl Acetate,17.1,2,1.8
5349,Cedryl Formate,17,2.9,2.5
5350,Cedryl Methyl Ether,16.8,1.8,0.9
5351,Ceftriaxone,18.7,15.1,14.1
5353,Celeriax (3-Propylidenephthalide),19,6.5,4.3
5354,Celery Ketone,17.4,5.6,3.7
5355,Celery Undecene,16.9,4,4
5356,Cetalox,17,1.9,1.2
5357,Cetyl Alcohol (1-Hexadecanol),16.4,3.7,8.1
5358,Cetyl Lactate,16.2,3.5,5.8
5359,Cetyl Methacrylate,15,1.9,2.5
5360,Cf2hocbrcicf3,15.8,6.7,2.8
5361,Cf2hocf2cbrcif,16,6.1,4
5362,Cf3cf(Ch2ch3)Ocf3,12.9,3.1,1.9
5363,Cf3cf(Ocf3)Ch2cf3,12.9,3.1,1.5
5364,Cf3cf(Ocf3)Ch2chf2,13.3,3.7,2.1
5365,Cf3cf2ocf(Cf3)Cf2och3,12.5,3.4,2.3
5366,Cf3ch2cocf2cf3,13.6,5.3,2.7
5367,Ch2=C(Cf3)Cooch3,14.9,5.1,5.2
5368,Ch2=C(Ch3)Conhet,17.2,11.2,7.6
5369,Ch2=C(Chf2)C6h5,17.2,2.9,2.7
5370,CH2FOCHFCF3,14.4,6.4,3.3
5371,Ch3ocf2chbrf,16,5.4,4.8
5372,Ch3ocf2chcl2,16.2,5.6,4.6
5373,Chamazulene,17.7,0.9,5.6
5374,Chamomile Isobutyrate,15.7,2.5,3.6
5375,Chamomile Octenone,15.9,3.8,2.6
5376,Chamomile Valerate,15.8,2.9,3.9
5377,Chavicol,18.4,4.9,9.5
5378,Chenodeoxycholic Acid,17.5,5.6,9.5
5379,Cherry Oxyacetate,18.1,5.5,6.3
5380,Cherry Pentenoate,16.2,3.9,5.3
5381,Cherry Propanol,18,4.4,7.5
5382,Chf2ocf2cf3,13,4.7,3
5383,Chf2ochbrcf3,15.2,5.7,4.1
5384,Chloral,17.2,7.4,7.6
5385,Chloramphenicol,20.1,16.2,15.2
5387,Chlorbromuron,20.2,12.7,10.9
5388,Chlorbufam,19.3,8.1,6.1
5389,Chlordane  Trans Cis    ,20,8.9,0.4
5390,Chlordane  Trans Cis      Isomers ,20,8.9,0.4
5391,Chlordane (Trans),20,8.9,0.4
5392,Chlorfenvinphos,18.9,9.3,5.5
5393,Chlormadinone Acetate,18.8,5.7,3.9
5394,Chlornitrofen,21.2,7.2,4.6
5395,Chloro Acetaldehyde,16.2,14,9
5396,Chloro Acetic Acid,17.7,10.4,12.3
5397,Chloro Maleic Anhydride,20.4,17.3,11.5
5398,Chloroacetaldehyde Diethyl Acetal,16.3,6.6,4.4
5399,Chloroacetamide,19.1,9.7,8.9
5400,Chloroacetic Acid Isopropyl Ester ,16.4,6.7,5.7
5401,Chloroacetone,16.8,9.6,5.5
5402,Chloroacetonitrile,17.4,13.6,2
5403,Chloroacetylchloride,17.5,9.2,5.5
5404,Chloroacetylene,16.2,2.1,2.5
5405,Chlorocyclopentane,17.1,6.9,3.5
5406,Chlorocyclopropane,17.6,7.2,2.2
5407,Chlorodibromofluoromethane (F-11B2),18.5,6.6,4.4
5408,Chlorodifluoromethane (Freon 22),12.3,6.3,5.7
5409,Chlorodiphenylmethane,19.3,2.8,2.7
5410,Chlorofluoromethane,15.1,8.6,8.2
5411,Chloroiodomethane    ,19,8.3,5
5412,Chloro-Methoxy-Methane,16.5,8.6,5.8
5413,Chloromethyl Methacrylate,16.8,7.1,6.3
5414,Chloromethylsulfide,16.6,6.4,2
5415,Chloronitromethane,17.4,13.5,5.5
5416,Chloropentafluoroaceton,14.1,6.2,2.9
5417,Chloropentafluorobenzene,17,4.1,3.2
5418,Chloropentafluoroethane,12.9,2.8,1.4
5419,Chloropham,18.8,7.7,5.8
5420,Chloropicrin (Trichloronitromethane),17.6,6.8,7
5421,Chlorothiazide,20.7,28.1,12.8
5422,Chlorothymol,18.2,3.2,7
5423,Chlorotrifluoroethylene (Ctfe),15.3,6.3,0
5424,Chlorotrifluoromethane,14.4,4.9,2.5
5425,Chlorotrimethylsilane,13.5,2.7,2
5426,Chloroxuron,20.9,10.6,9.3
5427,Chlorpheniramine ,19,4.5,3.1
5428,Chlorpromazine,19.9,7,5.2
5429,Chlorsulfuron,20.4,21.2,9.7
5430,Chlortoluron,20.1,10.6,10.1
5431,Chocolate Pyrazine A,18.5,10,7.1
5432,Cholecalciferol Vitamin D3,17.4,1.8,4.6
5433,Cholesterol Acetate,17,1.1,1.5
5434,Cholesterol Benzoate,17.1,2.2,1.2
5435,Cholic Acid,17.3,7.1,11.8
5436,Chroman,18.8,4.3,4.7
5437,Chrysanthemum Carbaldehyde,16.8,4.8,3.3
5438,Chrysanthemum Ketone,16.3,2.9,2.6
5439,Chrysanthemum Oxide,17.5,3.9,4.3
5440,Chrysanthenone,17.3,5.1,2.9
5441,Chrysanthenyl Acetate,16.6,2.3,3.6
5442,Chrysene,20.7,0.9,3.9
5443,Chrysin,20.4,9.6,13.5
5444,Cimetidine,18.3,13.5,8
5445,Cineol,16.6,2.7,2.5
5446,Cinmethylin,17.8,2.6,2.2
5447,Cinnamaldehyde,18.6,6.8,5.6
5448,Cinnamaldehyde / Methyl Anthranilate Schiff's Base,18.8,6.9,3.5
5449,Cinnamaldehyde Dimethyl Acetal,17.6,4.2,4.5
5450,Cinnamaldehyde Ethylene Glycol Acetal,18.6,4.5,5.3
5451,Cinnamaldehyde Propylene Glycol Acetal,18.2,3.9,4.5
5452,Cinnamic Acid,18.5,5.3,10.9
5453,Cinnamon Acrolein,17.9,8.3,6.3
5454,Cinnamyl Acetate,18.1,3.7,5.6
5455,Cinnamyl Alcohol,19.1,6,13
5456,Cinnamyl Anthranilate,19.4,6.8,7
5457,Cinnamyl Benzoate,18.8,5.6,3.8
5458,Cinnamyl Butyrate,17.7,3.2,4.6
5459,Cinnamyl Cinnamate,18.9,2.9,4.6
5460,Cinnamyl Formate,18.2,5.1,6.4
5461,Cinnamyl Hexanoate,17.5,3.1,4.5
5462,Cinnamyl Isobutyrate,17.6,3.1,4.4
5463,Cinnamyl Isovalerate,17.4,2.8,4.2
5464,Cinnamyl Nitrile,18.6,8.7,5.4
5465,Cinnamyl Phenyl Acetate,18.7,3.2,4.7
5466,Cinnamyl Propionate,17.8,3.7,5.1
5467,Cinnamyl Salicylate,19.2,7,7.3
5468,Cinnamyl Tiglate,18,2.9,4.8
5469,Cinnamyl Valerate,17.6,3.2,4.6
5470,Cinnoline,20.1,8,6.9
5471,Ciprofloxacin,20.8,17.6,12.8
5472,"Cis 1,1,3,5 Tetramethyl Cyclohexane",15.7,0,0
5473,Cis-(1-Butenyl)Benzene,17.7,2.2,3.2
5474,Cis-(1-Methyl-1-Propenyl)Benzene,17.8,2.2,3.1
5475,"Cis,Cis,Trans-1,2,4-Trimethylcyclopentane",15.9,0,0
5476,"Cis,Trans-1,3,5-Trimethylcyclohexane",16,0,0
5477,"Cis-1,2-Cyclohexanediamine ",17.2,4.4,9.2
5478,"Cis-1,2-Dibromoethylene",19.3,6.6,5.7
5479,"Cis-1,2-Dichlorocyclohexane",17.7,9.8,3
5480,"Cis-1,2-Difluoroethene",14.2,4.1,3.8
5481,"Cis-1,2-Dimethylcyclohexane",16,0,0
5482,"Cis-1,2-Dimethylcyclopentane",15.9,0,0
5483,"Cis-1,3,5-Hexatriene",15.8,2.6,3.5
5484,"Cis-1,3-Dimethylcyclohexane",16.2,0,0
5485,"Cis-1,3-Dimethylcyclopentane",16.2,0,0
5486,"Cis-1,3-Pentadiene",15.7,3,3.9
5487,"Cis-1,4-Dibenzyloxy-2-Butene",18,3.8,4.4
5488,"Cis-1,4-Dimethylcyclohexane",16.3,0,0
5489,"Cis-1,8-Terpin",17.6,5.8,10.9
5490,Cis-1-Bromo-1-Butene,17.1,4.4,4.3
5491,Cis-1-Bromo-1-Decene,16.9,2.6,2.8
5492,Cis-1-Bromo-1-Heptene,17,3.3,3.6
5493,Cis-1-Bromo-1-Hexene,17,3.5,3.7
5494,Cis-1-Bromo-1-Nonene,16.9,3.1,3.2
5495,Cis-1-Bromo-1-Octene,17,3.1,3.4
5496,Cis-1-Bromo-1-Pentene,17,3.7,3.8
5497,Cis-1-Bromo-2-Chloroethene,18.2,6,4.8
5498,Cis-1-Bromo-2-Methyl-1-Butene,17,3.9,3.7
5499,Cis-1-Bromo-3-Methyl-1-Butene,16.7,3.5,3.3
5500,Cis-1-Chloro-1-Butene,16.1,3.9,3.4
5501,Cis-1-Chloro-1-Decene,16.4,2.2,2.3
5502,Cis-1-Chloro-1-Hexene,16.2,3,3
5503,Cis-1-Chloro-1-Nonene,16.4,2.6,2.5
5504,Cis-1-Chloro-1-Octene,16.4,2.6,2.8
5505,Cis-1-Chloro-1-Propene,16.3,4.5,4
5506,Cis-1-Fluoro-1-Butene,14.9,3.2,3.5
5507,Cis-1-Fluoro-1-Decene,15.5,1.6,2.3
5508,Cis-1-Fluoro-1-Dodecene,15.6,1.4,2.2
5509,Cis-1-Fluoro-1-Heptene,15.3,2.2,3
5510,Cis-1-Fluoro-1-Hexene,15.1,2.4,3
5511,Cis-1-Fluoro-1-Nonene,15.5,2,2.6
5512,Cis-1-Fluoro-1-Octene,15.4,2,2.8
5513,Cis-1-Fluoro-1-Pentene,15,2.5,3
5514,Cis-1-Fluoro-1-Propene,14.9,3.8,4.1
5515,Cis-1-Fluoro-2-Butene,16.1,5.4,3.7
5516,Cis-1-Iodo-1-Butene,17.8,4.1,4
5517,Cis-1-Iodo-1-Hexene,17.5,3.3,3.4
5518,Cis-1-Iodo-1-Nonene,17.4,2.9,3
5519,Cis-1-Methyl-2-Propylcyclopentane,15.9,0,0
5520,Cis-1-Propenylbenzene,18,2.5,3.7
5521,"Cis-2,3,3,4,4,5-Hexafluorotetrahydrofuran",15.2,4.9,4.6
5522,"Cis-2,5-Dimethyltetrahydrofuran",16.2,3.8,4.1
5523,"Cis-2,Cis-4-Hexadiene",16.3,2.7,4
5524,"Cis-2,Trans-4-Hexadiene",16.3,2.7,4
5525,"Cis-2-Butene-1,4-Diol",18,10.4,21.9
5526,Cis-2-Butene-1-ol,16.9,6.7,14.5
5527,Cis-2-Decene,16,2,2.7
5528,Cis-2-Dodecene,16.1,1.5,2.4
5529,Cis-2-Heptene,15.7,2.3,3.2
5530,Cis-2-Hexen-1-ol,16.5,5.4,11.1
5531,Cis-2-Hexene,15.6,2.4,3.2
5532,Cis-2-Methyl-2-Butenoic Acid,16.7,6.2,12.7
5533,Cis-2-Methylcyclohexanol,16.8,4.3,10.2
5534,Cis-2-Octene,15.9,2,3.1
5535,Cis-2-Pentene,15.5,3.1,3.7
5536,Cis-2-Pentenoic Acid,16.5,6.2,12.7
5537,Cis-2-Undecene,16,1.6,2.4
5538,"Cis-3,4-Difluoro-2,2-Bis(Trifluoromethyl)Oxetane",14.5,4.8,3.1
5539,"Cis-3,7-Dimethyl-2,6-Octadien-1-ol",16.8,3.6,8.3
5540,Cis-3-Heptene,15.6,2.2,2.7
5541,Cis-3-Hexenal Solution,16.5,7.3,5.8
5542,Cis-3-Hexene,15.5,2.7,3.2
5543,Cis-3-Hexenyl Acetate,16.3,4.1,5.6
5544,Cis-3-Hexenyl Butyrate,16.2,3.4,4.6
5545,Cis-3-Hexenyl Salicylate,18.1,6.7,7.5
5546,Cis-3-Methylcyclohexanol,17.1,5.3,10.5
5547,Cis-3-Octene,15.7,2.1,2.7
5548,Cis-3-Pentenoic Acid,16.8,6.2,13.2
5549,Cis-4-Decenal,16.4,5.6,4.6
5550,Cis-4-Heptenal,16.4,6.8,5.4
5551,Cis-4-Methylcyclohexanol,17.2,5.2,11
5552,Cis-4-Octene,15.7,1.7,2.3
5553,Cis-4-Undecene,15.9,1.5,2.3
5554,Cis-5-Undecene,16,1.7,2.4
5555,Cis-Azobenzene,16.7,4.6,3.6
5556,Cis-Cinnamic Acid,19.1,3.9,10.6
5557,Cis-Crotonaldehyde,16.7,8.9,6.9
5558,Cis-Crotonitrile,16.6,12.3,6.5
5559,Cis-Cyclooctene,16.9,2.3,3.8
5560,Cis-Decahydronaphthalene,17.6,0,0
5561,Cis-Dicyano-1-Butene,17,16.5,6.8
5562,Cis-Hexahydroindane,16.8,0,0
5563,Cis-Jasmone (Jasmacyclene),17.9,5.4,4.9
5564,Cis-Permethrin,18.9,3,2.4
5565,Cis-Stilbene,19.2,1.9,3.2
5566,"Cis-Trans-1,3,5 Trimethylcyclohexane",16,0,0
5567,Cistus Cyclohexanone,16.7,5.4,2.2
5568,Citraconic Acid,17.7,9.4,20.7
5569,Citraconic Anhydride,19.2,17,11.2
5570,Citral / Methyl Anthranilate Schiff's Base,17.5,5.4,2.8
5571,Citral Diethyl Acetal,16.2,3.2,2.9
5572,Citral Dimethyl Acetal,16.4,3.7,3.5
5573,Citral Ethylene Glycol Acetal,17,3.6,4.2
5574,Citral Glyceryl Acetal,17.1,5,8.1
5575,Citral Propylene Glycol Acetal,16.9,3.2,3.5
5576,Citralva (Geranyl nitrile),16.8,6.6,4.1
5577,Citric Acid,18.1,12.1,25.8
5578,Citronellal,16.4,4.9,4.2
5579,Citronellal / Methyl Anthranilate Schiff's Base,17.2,5,2.7
5580,Citronellal Diisotridecyl Acetal,14.2,0.7,1.6
5581,Citronellal Dimethyl Acetal,16,3.2,3.4
5582,Citronellyl Acetate,16.3,3,4.2
5583,Citronellyl Acetone,16.4,3.9,3
5584,Citronellyl Anthranilate,17.7,5.1,5.7
5585,Citronellyl Benzoate,17.1,4,2.8
5586,Citronellyl Butyrate,16.2,2.5,3.5
5587,Citronellyl Cinnamate,17.3,2.3,3.6
5588,Citronellyl Ethoxalate,16.5,4,5.3
5589,Citronellyl Ethyl Ether,16,2.5,2.8
5590,Citronellyl Formate,16.2,4,4.8
5591,Citronellyl Hexanoate,16.3,2,3.5
5592,Citronellyl Isobutyrate,16.1,2.3,3.3
5593,Citronellyl Isovalerate,16.1,2.1,3.2
5594,Citronellyl Nitrile,16.4,6.1,3.9
5595,Citronellyl Octanoate,16.2,2.3,3.1
5596,Citronellyl Oxyacetaldehyde,16.3,5.5,4.6
5597,Citronellyl Phenyl Acetate,17.1,2.1,3.7
5598,Citronellyl Propionate,16.2,2.8,3.9
5599,Citronellyl Senecioate,16.6,2.5,3.6
5600,Citronellyl Valerate,16.3,2.4,3.5
5601,Citrulline,18.7,15.7,17.3
5602,Citrus Carbaldehyde / Methyl Anthranilate Schiff's Base,17.7,5,3.2
5603,Citrus Nitrile,17.9,6.7,4.3
5604,Citrus Propanol,17.1,4,9
5605,Civet Decenone,17.7,4,2.7
5606,Cl5-Styrene,20,2.1,2.2
5607,Clary Acetate,16.5,2.7,3.2
5608,Clary Octenone,15.9,2.8,1.8
5609,Clindamycin Phosphate,18.5,16.3,23.3
5613,Clover Nitrile,17.4,6.2,3.7
5615,Cocoa Butenal,18.3,6.3,5.1
5616,Cocoa Hexenal,17.4,4.8,3.7
5617,Cocoa Pentenal,17.6,5.1,3.8
5618,Cocoa Propanal,16.9,8.9,4.8
5619,Coconut Decanone,17.6,7.9,4.9
5620,Coconut Naphthalenone,18.5,5.7,5.3
5622,Coenzyme Q10,14.9,3.3,4.5
5623,Coffee Difuran,18.9,7.5,5.8
5624,Coffee Dione,18.6,11.6,4.7
5625,Coffee Furanone,17.9,9.7,6.1
5626,Coffee Pyrazine,17.7,7.3,5.1
5627,Conifer Acetate,16.1,1.7,2.4
5628,Coniferaldehyde,19.3,9.8,11.5
5629,Coniferyl Alcohol,19,7,16.3
5630,Coriander Heptenol,16.6,4.5,9.5
5631,Coronene ,21.6,1.9,4.8
5632,Cortex Pyridine,18.8,4.4,3.5
5633,Cortexolone,18.8,8.7,9.1
5635,Cortisone,19.2,11.6,9.5
5636,Cortisone Acetate,19,9.8,7
5637,Costus Valerolactone,16.6,6.7,4
5638,Coumane,19.2,8.8,4.9
5639,Coumarin,20,12.5,6.7
5640,Creamy Lactone,16.9,7.4,4.6
5641,Creatine,17.5,14.4,16.8
5642,Creatinine,18.4,12.1,8.6
5643,Cresyl Butyrate,17.6,3.9,4.5
5644,Crotonaldehyde,16.7,8.9,6.9
5645,Crotonaldehyde,16.2,14.9,7.4
5646,Crotonic Acid,16.8,8.7,12
5647,Crotonlactone,19,19.8,9.6
5648,Crotoxyphos,18.1,8.8,7.2
5649,Cubebol,17.3,2.6,4.3
5650,Cumene Hydroperoxide,17.5,7.8,11.4
5651,Cumin Carbinol,17.9,4,7
5652,Cuminic Aldehyde,17.7,5.6,3.5
5653,Cuminyl Acetaldehyde,17.6,5.7,4
5654,Cuminyl Acetate,17.6,3.6,4.4
5655,Cuminyl Nitrile,18.1,7.2,2.4
5656,Cumylphenyl,19.7,6.3,4.7
5657,Curzerenone,17.4,6.1,2.7
5658,Cyanamid (Carbamonitrile),15.5,27.6,16.8
5659,Cyanazine,19.1,14.6,8
5660,Cyanic Acid,19.2,23.8,24.5
5661,"Cyano(3-Phenoxyphenyl)Methyl Ester, 4-Chloro-α-(1-Methyl",19.2,5.3,4.1
5662,Cyanoacetic Acid,17.5,16.6,17.6
5663,Cyanogen,15.1,11.8,0
5664,Cyanogen Bromide,18.3,15.2,0
5665,Cyanogen Chloride,15.6,14.5,0
5666,Cyanogen Fluoride,14.8,17.6,7.5
5667,Cyc-Ch2cf2cf2cf2ch2o,14.6,4.4,3.3
5668,Cyc-Ch2cf2cf2ch2o,15.2,5.2,4.3
5669,Cyclamen Aldehyde,17.5,4.9,3.5
5670,Cyclamen Aldehyde / Methyl Anthranilate Schiff's Base,18,4.9,2.2
5671,Cyclamen Homoaldehyde,17.3,4.6,3.4
5672,Cyclamen Propanal,17.1,5.1,3.5
5673,Cycloate,18.2,7.8,3.4
5674,Cyclobutane,16.7,0,0
5675,Cyclobutane Carboxylic Acid,17.1,6.7,12.9
5676,Cyclobutanol,17.5,7.3,14.6
5677,Cyclobutanone,18.3,11.4,5.2
5678,Cyclobutene,16.9,4.5,5.5
5679,Cyclocitral,16.7,4.9,4.1
5680,Cyclodecane,16.8,0,0
5681,Cyclodecanone,16.8,8,4.1
5682,Cyclodithalfarol,19.8,11,14.8
5683,Cyclododecane,16.4,0,0
5684,Cyclododecanone,17.6,4.7,2.9
5685,Cyclododecene,17.1,1.2,2.9
5686,Cyclododecyl Formate,17.1,3.4,4.5
5687,Cycloeicosane,17,0,0
5688,Cycloheptadecane,17,0,0
5689,Cycloheptane,17.1,1.4,1.9
5690,Cycloheptanone,17.2,10.6,4.8
5691,Cycloheptene,16.9,2.6,3.9
5692,Cyclohexadecane,16.9,0,0
5693,Cyclohexadecanone,17.5,3.6,2.3
5694,Cyclohexane,16.8,0,0.2
5696,"Cyclohexane, 1,1'-(1,2-Ethanediyl)Bis-",17,0,0
5697,"Cyclohexane, 1,2,3,4,5-Pentabromo-6-Chloro-",20.5,8.4,2.7
5698,"Cyclohexane, Bromo-",17.6,3.4,3.4
5699,"Cyclohexane, Methylene-",16.5,2.2,3.7
5700,"Cyclohexane-1,2-Dicarboxylic Acid Di-Isononyl Ether",16.4,2.2,5
5701,"Cyclohexane-1,4-Dicarboxylic Acid",17.7,7.9,16.9
5702,Cyclohexanecarboxylic Acid,17.1,5.2,10.8
5703,Cyclohexanethiol,17.5,3.9,4.6
5704,Cyclohexanol,17.4,4.1,13.5
5706,Cyclohexanone,17.8,8.4,5.1
5708,Cyclohexanone Diethyl Acetal,16.4,4.2,3.4
5709,Cyclohexanone Oxime,17.4,4.1,10.8
